rec_id, given_name, surname, street_number, address_1, address_2, suburb, postcode, state, date_of_birth, soc_sec_id
rec-1496-org, mitchell, green, 7, wallaby place, delmar, cleveland, 2119, sa, 19560409, 1804974
rec-552-dup-3, harley, mccarthy, 177, pridhamstreet, milton, marsden, 3165, nsw, 19080419, 6089216
rec-988-dup-1, madeline, mason, 54, hoseason street, lakefront retrmnt vlge, granville, 4881, nsw, 19081128, 2185997
rec-1716-dup-1, isabelle, , 23, gundulu place, currin ga, utakarra, 2193, wa, 19921119, 4314184
rec-1213-org, taylor, hathaway, 7, yuranigh court, brentwood vlge, , 4220, nsw, 19991207, 9144092
rec-193-org, toby, webb, 6, kent street, kersey' south, towradgi, 3107, nsw, 19940503, 1232838
rec-264-dup-0, harry, stubs, , mountain creek road, , eaton, 7310, vic, 19721113, 8317467
rec-1695-dup-3, lydia, mccattmhy, 32, mckillop ecircuit, telemon orchards, corio, 4670, nsw, 19751220, 1835068
rec-875-dup-0, hollie, lillie-hinrichs, 27, hemmings crescent, kilvintonvillage, banyo, 4030, , 19251130, 4920253
rec-1778-dup-1, dylan, zilm, 17, blameycrescent, condinup, wattle glen, 4211, vic, 19671229, 4892623
rec-1696-dup-1, , donaldson, 14, manity court, pacific terraces, charmhaven, 3101, vic, 19940825, 9817986
rec-382-dup-0, isabella, vincent, 16, wilshiredstreet, erinsavle, rose ay, 6207, vic, 19760517, 8693348
rec-442-dup-0, connor, bishop, 27, jarreah, mackinnon street, aspley, 6052, , 19200417, 8871067
rec-1671-dup-0, connor, shepherd, 39, burnage place, rowethorpe, winstonhills, 3183, nsw, 19320907, 5731308
rec-1816-dup-1, natalia, gredn, 358, macrossan crescent, newman medicajl centre, yagoona, 2535, qld, 19910111, 3131587
rec-459-dup-4, georgia, pettigrove, 5, sinclair street, pinds, prairei, 2478, nsw, 19231019, 9695933
rec-1881-dup-1, wilson, pitno, 11, bousteadcircuit, jewells medical centre, granville, 3161, qld, 19971229, 8930019
rec-729-org, andrew, klander, 20, newman morris circuit, the willows, homebush, 2285, vic, 19761017, 5392569
rec-575-dup-1, tahni, skeen, 11, macfarland crescent, , ryde, 3220, , 19231110, 4111794
rec-1688-org, kasey, millar, , burdekin avenue, crown allot, woollahra, 4217, qld, 19930714, 7442486
rec-292-dup-0, keziah, parr, 20, clift crecent, bro okvale, murphys rceek, 2761, nsw, 19550103, 3697304
rec-834-dup-0, braecon, schuetz, 122, howarth place, villa 19, alice springs, 2028, vic, 19440909, 5276446
rec-1943-dup-0, nemesia, grifefn, 10, derrington c rescent, hd curramulka, beechboro, 2262, nsw, 19870509, 9760949
rec-1611-dup-0, , white, 21, boobialla street, sheep s tation, carlingford, 2830, qld, 19241214, 2042443
