rec_id, given_name, surname, street_number, address_1, address_2, suburb, postcode, state, date_of_birth, soc_sec_id
rec-561-dup-0, elton, , 3, light setreet, pinehill, windermere, 3212, vic, 19651013, 1551941
rec-2642-dup-0, mitchell, maxon, 47, edkins street, lochaoair, north ryde, 3355, nsw, 19390212, 8859999
rec-608-dup-0, , white, 72, lambrigg street, kelgoola, broadbeach waters, 3159, vic, 19620216, 9731855
rec-3239-dup-0, elk i, menzies, 1, lyster place, , northwood, 2585, vic, 19980624, 4970481
rec-2886-dup-0, , garanggar, , may maxwell crescent, springettst arcade, forest hill, 2342, vic, 19921016, 1366884
rec-4285-dup-0, sophie, manson, 14, elizabeth xrescent, manorhouse, gorokan, 3465, vic, 19510201, 4818868
rec-929-dup-0, madison, morrison, 38, peacock place, melim a, campbelltown, 3021, wa, 19481214, 1967265
rec-4833-dup-0, jayed, millar, 6, meredith c ircuit, , thornbury, 6014, vic, 19340731, 1314310
rec-717-dup-0, joshua, raward, 26, yambina cerscent, thorndale, macgrdgor, 4718, qld, , 9086686
rec-3984-dup-0, david, sette, 105, spring raghe road, jessiefield, villawood, 2213, wa, 19950603, 9471099
rec-3138-dup-0, jacob, delfos, 102, morgan crescent, valicare, geurie, 4557, act, 19510208, 4071052
rec-1424-dup-0, braiden, hering, 26, snowde n place, peppercor lodge, new farm, 3016, nsw, 19240408, 7720229
rec-825-dup-0, mia, wnite, 1329, national circuit, sec 301, narembeen, 2765, nsw, 19130418, 5053650
rec-520-dup-0, nicholas, mcneill, 16, , tunis, bacchus marsh, 6019, nsw, 19800829, 5215850
rec-3868-dup-0, rybak, jassim, 16, newman morrisf circuit, brookfield, oromnd, 2218, vic, 19840706, 8822389
rec-147-dup-0, cassandra, lock, 5, glossop cerscent, kames, scarborough, 6153, nsw, 19371206, 2516564
rec-919-dup-0, ilam, tschitrpig, 61, biffin sreet, , blacktown, 2221, nsw, 19970528, 6098354
rec-3156-dup-0, adam, ewald, , wentcher place, longstay caravn park, kempsey, 5902, nsw, 19180203, 2268410
rec-1026-dup-0, lochlan, weaver, 30, carnegie crescent, gantham, wendouree, 3197, nsw, 19990511, 4335106
rec-3272-dup-0, zara, white, 189, mackey place, doctors flat, hawthorn, 4300, wa, 19320621, 7744887
rec-4342-dup-0, , grubb, 10, berne cresxent, yooringa, st hubertscisland, 6539, nsw, 19341211, 6333533
rec-4788-dup-0, shanaye, averats, 162, benjami n way, ashville, bamawm, 3175, qld, 19340625, 8786773
rec-3978-dup-0, , babic, 1, totterdell street, cooingale, st albans, 4060, sa, 19450493, 3346822
rec-2440-dup-0, amy, green, 8, cahalan place, , east preston, 2114, , 19900401, 2287496
rec-4517-dup-0, isabe lla, waller, , blackbu rn street, omeo, stanmore, 5035, vic, 19500719, 7270771
rec-4595-dup-0, samuel, rudd, 46, powlett street, , kingston, 3453, sa, 19580819, 7309587
rec-316-dup-0, jordan, whie, 8, , , ryde, 2148, vic, 19890416, 6617539
rec-1413-dup-0, brielle, speabrs, 8, tunney c rescent, hd blanch sec 28, rosslyn park, 3350, wa, 19890201, 3140493
rec-470-dup-0, harry, bishop, 5, darwinia terrace, craigsto nl1bg, glenmore aprk, 4830, wa, 19781114, 7781607
rec-2871-dup-0, noah, fusco, 65, kruseplace, thepoints h olsteins, kununurra, 3400, nsw, 19490107, 9136935
rec-4096-dup-0, stella, clarke, 11, leist strewt, emerald banks, burnie, 3152, wa, 19020227, 6990160
rec-567-dup-0, bradley, sribar, 32, sturt avenue, everge en, buronga, 2710, sa, 19511217, 9160808
rec-3089-dup-0, annabel, thropr, 21, airey crescent, galloway, rokeby, 4670, vic, 19920305, 2814912
rec-4233-dup-0, joshua, dixon, 60, croton street, ethnam arm, surrey hills, 2617, nsw, 19481014, 5540614
rec-3874-dup-0, jacob, wbeb, 14, hawdon treet, aumuller house, forest lodge, 6050, nsw, 19450315, 8971806
rec-1168-dup-0, isabella, ryan, 61, downes place, spring ridge, ardeer, 3058, nsw, 19331204, 4702512
rec-4618-dup-0, chloe, musoilno, 4, warrumbmul street, gordoivale, brighton, 3728, ni, , 7147784
rec-2896-dup-0, blake, mcvicar, 26, ellerston avenue, rosehill, bowral, 3009, qld, 19890504, 1219082
rec-3044-dup-0, nicholas, mycko, 259, alma close, farm shed, centennail park, 3000, qld, 19450728, 3274337
rec-2852-dup-0, kiana, huxley, 12, southern close, little dale, maryborough, 2517, nsw, 19140529, 1728316
rec-1492-dup-0, macormack, campball, 21, shipard place, demountabel bldg, brighton, 2546, qld, 19640101, 3116298
rec-1108-dup-0, lachln, murton, 191, barraclough crescent, medcl cntr (cnr queen s street, east hills, 2707, nsw, 19770527, 2068877
rec-2621-dup-0, casey, heran, 10, cathie p lace, watarmark, rowville, 6135, sa, 19390522, 8255871
rec-2867-dup-0, bailey, satte rley, 28, newman morcbis circuit, carrington garden, beamont, 2074, nsw, 19730919, 1989082
rec-2979-dup-0, caleb, dabinet, 30, springfields farms, rodway tsreet, mount ommaney, 3133, qld, 19040620, 2071263
rec-4466-dup-0, bllke, white, 16, brunto nstreet, rosetta village, frankxton, 2800, vic, 19731009, 6366377
rec-4903-dup-0, mihal, hannsh, , aspinal ls treet, , nyal west, 6060, vic, , 7161412
rec-1445-dup-0, paige, webb, , arthaldo court, , cardkff, 5023, vic, 19341104, 6388140
rec-2854-dup-0, nahan, bishop, 2, osburn drive, noosa village shopping centre, woodhill, 2530, vic, 19961008, 6472175
rec-4281-dup-0, saraa, carmody, 14, gilmore crescent, brentwood vlge, denmark, 4650, wa, 19830421, 7880298
rec-1831-dup-0, mia, reid, 4, le hunte srreet, marretth, como, 3777, vic, 19800421, 3451673
rec-172-dup-0, adamx, craze, , mcclintoxk street, loma langie, portarlington, 3199, wa, 19270510, 3239913
rec-2239-dup-0, makenzi, elphick, 31, copland drive, gwand alan, erskine, 4214, wa, 19500810, 1011936
rec-2873-dup-0, rhys, horsley, 11, , calalafarm, sale, 7130, nsw, 19070227, 5179281
rec-3040-dup-0, zane, webb, 4, mackinolty street, mayflower rtrmnt vlge, ganmani, 6018, vic, 19190523, 1897310
rec-1015-dup-0, bailey, zilm, 11, , craigow, deer park, 6112, tas, 19471001, 5100168
rec-2154-dup-0, phoebe, , 33, kumm place, the manor garden, harris park, 2323, vic, 19061113, 3155906
rec-4799-dup-0, molly, hanna, 18, lewis luxton avenue, tullaillan, salisbury east, 2032, vic, 19171018, 3994290
rec-3528-dup-0, , gibb, 35, tenison-woodsr circuit, the j gms, adamstown heights, 6333, nsw, 19090430, 3651633
rec-2434-dup-0, , ebert, 69, rapanea street, pangabi, , 6061, nsw, 19310909, 9105802
rec-4382-dup-0, cambell, coteman, 45, norton street, skilbister, coniston, 3803, act, 19731016, 2389212
rec-2786-dup-0, marko, lamprey, 23, kilburnie, backler place, windsor, 6083, nsw, 19401125, 4959474
rec-2685-dup-0, joe, lodgw, 200, steinwedel street, kmart p plaza, toowoomba, 4016, wa, 19710830, 2655513
rec-3436-dup-0, ethan, marson, 40, catumbel lodge, tinaroo place, hoppers crossing, 2035, vic, 19100123, 9238396
rec-4668-dup-0, elton, coldicutt, 3, somerset s treet, newman medcaql centre, ashfield, 5037, vic, 19341016, 9721944
rec-3570-dup-0, ja xson, selht, 1, moonta place, walhalla, maryborough, 2066, qld, 19130707, 7238580
rec-490-dup-0, crystal, webb, 6, holman street, rowethorpe, nora, 3095, vic, 19800226, 6491894
rec-3777-dup-0, lachlarn, ricard, 40, wallaroeroad, , bowral, 4158, sa, 19531101, 6012074
rec-4113-dup-0, sophie, au, 26, pelham close, locn n192, sandy bay, 3192, vic, , 4507512
rec-4592-dup-0, elizabeth, nobli, 33, rosebery street, glenomre, eatons hill, 2458, vic, 19820730, 7294023
rec-4070-dup-0, chandler, hamish, 9, allavnale, eton place, bribie island, 2831, tas, 19871001, 3981694
rec-4862-dup-0, matthew, walms, 1121, massi e place, the stockyards, dalby, 3352, nsw, 19280328, 6147905
rec-629-dup-0, willim, lund, 8, bridgedtreet, pevensey, bowral, 4350, qld, 19211017, 4144401
rec-2447-dup-0, mattheo, godfley, 22, madigan street, tantallon, mayfield, 2444, vic, 19811231, 1967139
rec-2694-dup-0, ebony, piniros, 16, ashby c ircuit, , meltonsouth, 2913, nsw, 19030607, 6804193
rec-3899-dup-0, noah, berry, 58, alice jackse on crescent, rosehill, hawthorn, 5251, sa, 19240908, 1446426
rec-4878-dup-0, , lowry, 80, kinchela crescent, rowethorpe, rossmoyne, 2770, qld, 19350708, 6616912
rec-1503-dup-0, jasmine, ryah, 49, spofforth street, kirra vista, daylesford, 3072, nsw, 19161002, 7987659
rec-4831-dup-0, cleb, thorpe, 4, river street, , granville, 2641, nsw, 19590118, 7916134
rec-888-dup-0, caitlin, berry, 29, carr crscent, bletchly aprk, corrimal east, 4075, sa, 19780804, 2225444
rec-3917-dup-0, angelina, lowry, 20, browne place, craisgton, peakhurst, 3284, qld, 19350921, 5692471
rec-2713-dup-0, benjamin, morr ison, 16, kingscotecrescent, malanda orchard, sanctuary point, 0280, nws, 19761231, 3201927
rec-3390-dup-0, evan, , 3, livingstonavenue, , burleigh heads, 2289, vic, 19450220, 8451831
rec-109-dup-0, dnaiel, fysh, 27, appel crescent, , hermit park, 2333, nsw, 19620207, 3085695
rec-4162-dup-0, mollie, sherriff, 9, dalley crescent, tarliunp, newstaed, 4207, qld, 19051216, 5596459
rec-1226-dup-0, seth, moovdy, 42, scantlebury crescent, the lodge, sippy dawns, 3156, vic, 19270524, 6853828
rec-2175-dup-0, brianna, wardle, 1, mcdougalll street, , beechbohro, 3165, nsw, 19440826, 2063140
rec-2820-dup-0, millie, neville, 38, menziesn court, , toowoomba, 2066, nsw, 19950511, 8251642
rec-4051-dup-0, luke, mccartyy, 5, bandjalongcrescent, , north curl curl, 2160, nsw, 19521124, 9203828
rec-4486-dup-0, hayey, ryan, 2, lambrig gstreet, flt 67, jardee, 2750, act, 19880816, 7698870
rec-3316-dup-0, sophie, coulson, 8, blackburn street, , mansfield park, 5097, nsw, 19690320, 9010006
rec-687-dup-0, brodie, gren, 169, staunton place, star court arcade, bellevue hill, 3175, nsw, 19690410, 5667813
rec-1552-dup-0, daniel, callahtn, 119, halifax close, medical ce ntre, smythesdale, 2400, nsw, 19530309, 3925704
rec-802-dup-0, mya, mccarthy, 43, wakool circuit, , moona hwest, 2063, nsw, 19120729, 5475592
rec-1880-dup-0, liam, coenen, 66, stretton c rescent, , patterson lakes, 6060, qld, 19690602, 1128736
rec-2306-dup-0, zali, white, , blackman crescent, glenairne, bundaberg, 6280, wa, 19020311, 7291149
rec-394-dup-0, lachlan, ryan, 51, totterdell street, roseglen, dalhy, 3168, qld, 19480724, 7284475
rec-2963-dup-0, fyynlay, deblasio, , longerenong street, werribee plaza, forest hill, 2790, nsw, 19161102, 8968244
rec-4451-dup-0, jarus, scamnoi, 375, bissenberger crescent, dalmoora, goodna, 4670, qld, 19120912, 6966609
rec-8-dup-0, nicholas, procter, 1, cavanaughlstreet, sherwood, leevflle, 2089, nsw, 19031219, 2662272
