rec_id, given_name, surname, street_number, address_1, address_2, suburb, postcode, state, date_of_birth, soc_sec_id
rec-223-org, , waller, 6, tullaroop street, willaroo, st james, 4011, wa, 19081209, 6988048
rec-122-org, lachlan, berry, 69, giblin street, killarney, bittern, 4814, qld, 19990219, 7364009
rec-373-org, deakin, sondergeld, 48, goldfinch circuit, kooltuo, canterbury, 2776, vic, 19600210, 2635962
rec-10-dup-0, kayla, harrington, , maltby circuit, coaling, coolaroo, 3465, nsw, 19150612, 9004242
rec-227-org, luke, purdon, 23, ramsay place, mirani, garbutt, 2260, vic, 19831024, 8099933
rec-6-dup-0, , trevorrow, 16, dumas street, 2/98-latchford barracks, mount immaney, 2281, wa, 19530313, 4811642
rec-190-dup-0, darcie, turtur, 10, blacket street, eureka, beverly hills, 2263, nsw, , 2025650
rec-294-org, william, bishop, 21, neworra place, apmnt 65, worongary, 6225, qld, 19490130, 9773843
rec-206-dup-0, , lombardi, 36, yerralee road, leisure living vlge, carlsruhe, 3149, qld, 19870919, 1613132
rec-344-org, , julius, 52, florey drive, north stirling downs, coolaroo, 2259, qld, 19630521, 1797144
rec-81-dup-0, abbey, fit, 13, kosciusko avenue, the wharf complex, yass, 2594, nsw, 19870510, 7661096
rec-34-org, isabella, lodder, 156, messenger street, tongbong sanctuary, bayswater, 4870, vic, 19650714, 2790666
rec-478-org, anthony, beazley, 12, birubi place, currandina, flemington, 2477, qld, 19730924, 6558077
rec-225-org, alia, streich, 74, maranoa street, rocky bend, rowville, 6152, vic, 19790418, 1975340
rec-344-dup-0, , stephenson, 52, , north stirilng downs, coolaroo, 2259, qld, 19630521, 1797144
rec-452-org, alissa, kilmartin, 37, reveley crescent, crown allot, wolumla, 6210, nsw, 19041118, 7994055
rec-67-org, jacob, lyden, 25, haddon street, glenview, woodville north, 2226, qld, 19910424, 6426415
rec-286-org, evangelia, shepherd, 9, crichton crescent, mirilla, lutwyche, 2794, qld, 19900909, 3877160
rec-251-dup-0, paige, lowe, 3, chave street, keelee, gowwie, 2906, qld, 19140707, 2534242
rec-335-org, alexa-rose, lowe, 67, ballarat street, the willows, westwood, 4011, nsw, 19691123, 2624157
rec-439-org, kirra, brock, 93, clarnette place, backwoodlands, orbost, 2528, vic, 19231209, 5107876
rec-251-org, paige, lowe, 3, chave street, keelee, gowrie, 2906, qld, 19140707, 5860195
rec-409-org, liam, mcphail, 94, langdon avenue, jandarra, patterson lakes, 3029, qld, 19920711, 2109237
